AppID,Category_1,Category_2
549860,Single-player,Steam Achievements
612380,Single-player,
1559340,Single-player,
1632640,Single-player,
350480,Single-player,Steam Achievements
220900,Single-player,Steam Achievements
1768260,Single-player,
539090,Single-player,Steam Leaderboards
908500,Single-player,Steam Achievements
1852760,Single-player,Steam Achievements
809890,Single-player,Steam Achievements
570770,Single-player,Steam Achievements
448500,Single-player,Steam Achievements
854160,Single-player,Steam Achievements
1359170,Single-player,Full controller support
897010,Single-player,
1607870,Single-player,
553260,Single-player,Steam Achievements
453130,Single-player,Multi-player
1508890,Single-player,Steam Achievements
3010,Single-player,Multi-player
1297480,Multi-player,PvP
1217830,Single-player,Steam Achievements
628830,Single-player,Full controller support
686440,Single-player,Multi-player
521710,Single-player,Steam Cloud
1986310,Single-player,Steam Achievements
1259660,Single-player,
108200,Single-player,Multi-player
614150,Single-player,Steam Achievements
1570340,Multi-player,Co-op
304970,Single-player,
1630940,Single-player,Multi-player
878520,Single-player,Steam Achievements
1927300,Single-player,Includes level editor
340630,Single-player,Steam Achievements
704310,Single-player,Steam Achievements
619150,Single-player,Steam Achievements
1373890,Multi-player,PvP
1869200,Single-player,
392030,Single-player,Steam Achievements
605850,Single-player,Partial Controller Support
441670,Single-player,Steam Achievements
962150,Single-player,Multi-player
50990,Single-player,
648510,Single-player,Captions available
1071070,Single-player,
2011540,Single-player,
1761740,Single-player,
538700,Single-player,Steam Trading Cards
1564150,Single-player,Steam Achievements
726870,Single-player,
1074390,Single-player,Steam Achievements
1554780,Single-player,Steam Achievements
1065750,Single-player,
714780,Single-player,
1321040,Single-player,Steam Achievements
1204930,Single-player,
1588760,Single-player,Steam Achievements
924740,Single-player,Multi-player
416340,Single-player,
242610,Single-player,Multi-player
1613340,Others,
1168980,Single-player,
1277340,Single-player,
1233610,Single-player,Multi-player
302610,Single-player,Steam Achievements
1638730,Single-player,
1484150,Single-player,
1850710,Others,
922520,Single-player,Full controller support
1743770,Others,
1157200,Single-player,Steam Achievements
1862100,Single-player,Steam Achievements
2022020,Single-player,Steam Achievements
1099400,Includes level editor,
1604610,Multi-player,PvP
503060,Single-player,
1275970,Single-player,Multi-player
847490,Single-player,Steam Achievements
1101580,Single-player,Steam Achievements
201010,Single-player,
837610,Single-player,Steam Achievements
1029870,Single-player,Steam Achievements
205690,Single-player,
632240,Single-player,Steam Leaderboards
1774150,Others,
898910,Single-player,Multi-player
1042930,Single-player,Multi-player
109500,Single-player,
539290,Single-player,Multi-player
1603600,Single-player,Multi-player
489100,Single-player,Partial Controller Support
1310620,Single-player,
740450,Single-player,
1646090,Single-player,Full controller support
448670,Single-player,Steam Leaderboards
1956110,Single-player,
542740,Single-player,
687980,Single-player,Partial Controller Support
612120,Single-player,
1259000,Multi-player,MMO
1380060,Single-player,Full controller support
814560,Multi-player,PvP
701100,Single-player,
1407060,Single-player,Steam Achievements
1495860,Single-player,Multi-player
1126970,Single-player,Multi-player
1639530,Multi-player,PvP
1995420,Single-player,
358000,Single-player,Partial Controller Support
1856080,Multi-player,PvP
239430,Single-player,Steam Achievements
961490,Single-player,Multi-player
363500,Single-player,Steam Achievements
286750,Single-player,
388080,Single-player,Steam Achievements
1565630,Single-player,
1751800,Single-player,Full controller support
925360,Single-player,
482300,Single-player,Steam Achievements
964910,Single-player,Steam Cloud
16130,Single-player,
1716950,Single-player,Steam Achievements
411530,Single-player,
237430,Single-player,Multi-player
1843720,Others,
485120,Single-player,Multi-player
1907570,Single-player,Steam Achievements
528670,Single-player,Steam Achievements
417540,Others,
1496530,Single-player,Steam Achievements
465070,Single-player,Multi-player
448010,Single-player,Steam Achievements
782630,Multi-player,PvP
1162170,Single-player,Partial Controller Support
1941850,Single-player,
1467740,Single-player,
1212930,Single-player,Steam Achievements
1580990,Single-player,
1975670,Single-player,Steam Achievements
1808480,Single-player,Steam Achievements
818070,Single-player,Multi-player
1271190,Single-player,
944590,Single-player,Steam Achievements
1299400,Single-player,Steam Achievements
958090,Single-player,Steam Achievements
607040,Single-player,Steam Achievements
1301850,Single-player,
299380,Single-player,Steam Achievements
1626950,Single-player,
342260,Single-player,Steam Achievements
1684920,Single-player,Steam Achievements
888010,Single-player,Steam Achievements
538950,Single-player,Steam Achievements
293520,Single-player,Steam Achievements
502940,Single-player,Steam Achievements
1395560,Single-player,Multi-player
1038680,Multi-player,PvP
291690,Single-player,Steam Achievements
1246200,Single-player,Partial Controller Support
1581010,Single-player,
1690250,Single-player,Steam Achievements
653210,Single-player,Steam Achievements
267360,Single-player,Steam Trading Cards
1694430,Single-player,Includes level editor
1886850,Single-player,Steam Achievements
1378490,Others,
499910,Single-player,Steam Achievements
1863170,Single-player,Steam Achievements
1644840,Single-player,Steam Achievements
1422880,Single-player,Steam Achievements
12460,Single-player,Multi-player
410320,Single-player,Multi-player
1345440,Single-player,Multi-player
757600,Single-player,Steam Achievements
952000,Single-player,Multi-player
1735930,Single-player,Steam Achievements
336670,Multi-player,Co-op
1828410,Single-player,Multi-player
733420,Single-player,Multi-player
1528770,Single-player,Steam Achievements
542260,Single-player,Steam Achievements
369560,Single-player,Multi-player
1494400,Single-player,
394850,Single-player,Multi-player
953900,Single-player,Steam Achievements
299480,Single-player,Multi-player
1696230,Single-player,
1530670,Single-player,
1260220,Single-player,Steam Achievements
1503530,Single-player,Steam Achievements
750960,Single-player,Steam Achievements
