AppID,Genre_1,Genre_2,Genre_3
439460,Indie,Simulation,
1308880,Action,Adventure,Indie
296650,Action,Casual,Indie
1549420,Adventure,Indie,
418270,Action,Adventure,Indie
390220,Indie,Simulation,
549860,Adventure,Casual,Indie
612380,Casual,Indie,Strategy
1559340,Adventure,Casual,Indie
1632640,Adventure,Casual,Indie
350480,Adventure,Indie,
220900,Action,Casual,Indie
1768260,Action,Casual,
539090,Simulation,Sports,
908500,Adventure,Casual,Indie
1852760,Casual,Indie,
809890,Adventure,RPG,
570770,RPG,,
448500,Action,Adventure,Casual
854160,Adventure,Indie,
1359170,Action,Indie,
897010,Adventure,Casual,
1607870,Action,Casual,Indie
553260,Strategy,,
453130,Indie,Strategy,
1508890,Casual,Indie,
3010,Racing,,
1297480,Action,Casual,Indie
1217830,Adventure,Casual,Indie
628830,Adventure,Casual,Indie
686440,Action,Adventure,Indie
521710,Strategy,,
1986310,Adventure,Free to Play,Indie
1259660,Adventure,Casual,Indie
108200,Casual,Indie,Strategy
614150,Action,Casual,Indie
1570340,Action,Adventure,
304970,Animation & Modeling,Design & Illustration,Utilities
1630940,Casual,Indie,Simulation
878520,Adventure,Casual,Strategy
1927300,Action,Casual,Indie
340630,Action,Casual,Indie
704310,Action,Indie,
619150,Indie,Simulation,
1373890,Action,Casual,Indie
1869200,Casual,Indie,Early Access
392030,Action,Indie,
605850,Casual,Indie,
441670,Action,Adventure,Casual
962150,RPG,Strategy,
50990,Adventure,Casual,
648510,Adventure,Indie,RPG
1071070,Action,Adventure,Indie
2011540,Adventure,Free to Play,Indie
1761740,Adventure,Indie,
538700,Action,Adventure,Casual
1564150,Action,Adventure,Indie
726870,Adventure,Indie,
1074390,Action,Adventure,Indie
1554780,Adventure,Casual,Indie
1065750,Adventure,Free to Play,Indie
714780,Adventure,Free to Play,
1321040,Adventure,Casual,Indie
1204930,Casual,,
1588760,Casual,Indie,Simulation
924740,Action,Adventure,Indie
416340,Adventure,Casual,Simulation
242610,Action,Indie,Early Access
1613340,Others,,
1168980,Action,Adventure,Indie
1277340,Adventure,Racing,
1233610,Adventure,Casual,Indie
302610,Action,Indie,
1638730,Action,Adventure,Casual
1484150,Casual,,
1850710,Others,,
922520,Action,Adventure,Indie
1743770,Others,,
1157200,Indie,,
1862100,Casual,,
2022020,Action,Casual,Indie
1099400,Game Development,,
1604610,Action,Casual,Free to Play
503060,Adventure,Casual,
1275970,Adventure,Indie,RPG
847490,Action,Casual,Indie
1101580,Simulation,,
201010,Strategy,RPG,Indie
837610,Sexual Content,Adventure,RPG
1029870,Adventure,Casual,Strategy
205690,Adventure,Indie,
632240,Casual,Indie,Sports
1774150,Others,,
898910,Action,Indie,Early Access
1042930,Action,Indie,Racing
109500,Action,Indie,
539290,Casual,,
1603600,Indie,Massively Multiplayer,Simulation
489100,Casual,Indie,Racing
1310620,Action,Adventure,Indie
740450,Action,Adventure,Indie
1646090,Action,Indie,
448670,Action,Casual,Indie
1956110,Casual,Free to Play,Indie
542740,Action,Casual,
687980,Free to Play,Indie,RPG
612120,Nudity,Violent,Action
1259000,Free to Play,Indie,Massively Multiplayer
1380060,Casual,Indie,Racing
814560,Action,Casual,Indie
701100,Free to Play,Simulation,
1407060,Adventure,Indie,
1495860,Casual,Indie,
1126970,Indie,Strategy,
1639530,Action,Adventure,Casual
1995420,Casual,Indie,Simulation
358000,Action,Adventure,Indie
1856080,Action,Indie,
239430,Action,Adventure,Indie
961490,Action,,
363500,Adventure,Indie,
286750,Casual,Simulation,Strategy
388080,Utilities,,
1565630,Action,Adventure,Casual
1751800,Action,Adventure,Indie
925360,Casual,Indie,Simulation
482300,Adventure,Indie,Simulation
964910,Casual,Free to Play,Indie
16130,Casual,Simulation,
1716950,Casual,Indie,Strategy
411530,Adventure,Casual,Simulation
237430,Indie,RPG,Strategy
1843720,Others,,
485120,Indie,,
1907570,Casual,Indie,
528670,Casual,Indie,
417540,Utilities,,
1496530,Action,Casual,
465070,Action,,
448010,Casual,Indie,
782630,Action,Casual,Free to Play
1162170,Indie,RPG,
1941850,Adventure,Casual,Indie
1467740,Casual,Free to Play,Indie
1212930,Action,Adventure,Indie
1580990,Adventure,,
1975670,Adventure,Indie,RPG
1808480,Casual,Indie,
818070,RPG,Early Access,
1271190,Casual,RPG,Simulation
944590,Action,,
1299400,Casual,Indie,
958090,Action,Indie,
607040,Adventure,Casual,Indie
1301850,Casual,Free to Play,Indie
299380,Action,Adventure,Casual
1626950,Action,Adventure,Indie
342260,Adventure,Indie,
1684920,Action,Indie,
888010,Adventure,Indie,
538950,Action,Casual,Free to Play
293520,Indie,Simulation,
502940,Casual,Indie,
1395560,Action,Indie,
1038680,Action,Adventure,Free to Play
291690,Adventure,Indie,
1246200,Action,Adventure,Indie
1581010,Action,Adventure,
1690250,Adventure,Casual,Indie
653210,Adventure,Indie,
267360,Action,,
1694430,RPG,Early Access,
1886850,Indie,Simulation,
1378490,Others,,
499910,Adventure,Indie,
1863170,Indie,Simulation,Strategy
1644840,Casual,,
1422880,Action,Adventure,Casual
12460,Strategy,,
410320,Action,,
1345440,Action,Adventure,Indie
757600,Adventure,,
952000,Action,Adventure,Indie
1735930,Action,Adventure,Indie
336670,Free to Play,,
1828410,Action,Free to Play,RPG
733420,Adventure,Indie,
1528770,Action,Adventure,Casual
542260,Casual,Indie,
369560,Action,Adventure,Casual
1494400,Casual,,
394850,Action,Indie,
953900,Adventure,Casual,Indie
299480,Action,Indie,
1696230,Action,Adventure,Free to Play
1530670,Action,Adventure,Casual
1260220,Casual,Indie,RPG
1503530,Action,Adventure,Casual
750960,Action,Adventure,Indie
1898130,Casual,Indie,
523210,Casual,Indie,
1278170,Action,Sports,
950400,Action,Adventure,Casual
766570,Adventure,Casual,Free to Play
1694450,Action,Casual,Indie
1343220,Casual,Indie,
1672700,Action,Indie,
1860120,Adventure,Casual,Free to Play
1338020,Action,Indie,
1213420,Adventure,Casual,Indie
1385820,Action,Adventure,Indie
848460,Action,Casual,Indie
735650,Indie,Strategy,
1048100,Action,Adventure,Casual
345700,Adventure,Casual,Indie
1873830,Action,Casual,Indie
65600,RPG,,
674250,Action,Indie,RPG
